Timestamp,What operating system are you using for this workshop?,Which of the following are true regarding your experiences with R prior to this workshop?,What do you hope to use R for in the future?,"The workshop will be held on the PSU campus. What is your intended mode of travel to the workshop?
Check all that apply",Do you intend to travel directly from home to the workshop?,How far will you likely travel?,What is the approximate travel time for your morning commute to PSU?,What is your morning drink of choice?,What is the first movie quote that comes to mind?,Pineapple is an acceptable pizza topping?
3/13/2026 15:53:40,macOS,No previous R experience,GIS and other planning based analysis,Bike,Yes - I intend to travel directly,4.3 miles,30 minutes,Coffee,Prowler needs a jump,TRUE
3/13/2026 16:16:27,Windows,No previous R experience,Depending on flexibility and usefulness most likely a report building or ad hoc report presenting tool.,"Public Transit, Walking",Yes - I intend to travel directly,SEVEN MILE,Thirty Six Mins,H2O,WHATS IN THE BOX?!?,TRUE
3/13/2026 16:16:49,,,,,,,,,,TRUE
3/13/2026 16:16:54,,,,,,,,,,TRUE
3/13/2026 16:17:00,,,,,,,,,,TRUE
3/13/2026 16:17:05,,,,,,,,,,TRUE
3/13/2026 16:17:10,,,,,,,,,,TRUE
3/16/2026 8:56:08,Windows,No previous R experience,To help me identify issues with our detection system,Car - Alone,Yes - I intend to travel directly,40ish Miles,An hour,Coffee,"Not a movie, but from Ron Swanson in Parks and Rec, ""If there were more food and fewer people, this would be a great party.""",FALSE
3/16/2026 9:48:40,Windows,Used R in prior work,analytics,Public Transit,Yes - I intend to travel directly,5 miles,1 hour,Coffee,"""That's like, your opinion, man.""",TRUE
3/16/2026 10:26:36,Windows,Previous training in R,Automating certain tasks & building visualizations.,Public Transit,Yes - I intend to travel directly,5 miles,30-35 minutes,Tea,Be excellent to each other.,FALSE
3/16/2026 12:13:48,Windows,"Used R in a class in school (even if it was a while ago), Used R in prior work",How to analyze transit operations data and support data-driven decision making by using R programming. ,Public Transit,Yes - I intend to travel directly,30 - 40 Minutes,30 minutes,Coffee,"""Your body is not a temple, it is an amusement park. Enjoy the Ride.""",FALSE
3/16/2026 14:49:43,Windows,No previous R experience,"R is regularly used by peers at DEQ. Current have coworker use R to upload data I collected into database. Hope to be able to run that code, analyze the data and create graphs",Walking,Yes - I intend to travel directly,1 mile,10 minutes,Coffee,Oh my god! I've killed Harry Potter!,TRUE
3/17/2026 8:58:25,Windows,Used R in a class in school (even if it was a while ago),"Statistical modeling & forecasting – building predictive models (e.g., safety incidents, ridership trends, performance metrics, etc.)","Public Transit, Walking",Yes - I intend to travel directly,15 miles,45 minutes,Tea,“I’ll be back.” — The Terminator,TRUE
3/17/2026 13:44:30,Windows,No previous R experience,Analyzing data sets more efficiently than how I do/can in Excel ,Bike,Yes - I intend to travel directly,5 miles,30 mins by bike,Coffee,I don't watch many movies to have a quote that comes to mind,FALSE
3/17/2026 16:51:38,Windows,Regularly observe others using R,I hope to build redundancy in my team and learn new tools for my data analysis toolbox.,Walking,Yes - I intend to travel directly,0.5 miles or less,10 minutes,Coffee,To infinity and beyond!,TRUE
3/17/2026 17:08:14,Windows,No previous R experience,Urban/regional planning and producing maps,Public Transit,Yes - I intend to travel directly,About 4 miles,40 minutes,Tea,"“If this child is not the word of God, then God never spoke.”",TRUE